,Unnamed: 0.1,Unnamed: 0,Reviews,Years,Reviews in English,Score sentiment,Language,Communication issue,time issue,staff issue,Time issue,Staff issue,Technical issue,Policy issue
10,10,10,"Respublikada özü kimi ikinci yarıtmaz, həyasız bank yoxdur. Hər həftənin altıncı günü və bazarı bu bankın yiyəsi olmur. Çağrı mərkəzi ümumiyyətlə işləmir, operatora qoşulmanı mümkün eləmirlər ancaq hec kimə lazım olmayan balans öyrənə bilərsən, canlı çat işləmir sıfır səviyyəsində 1 saatdan sonra cavab yazır və 30 saniyə cavab vermeyen kimi çatı danışığı bağlayır. Yenidən 1 saat gözləməlisən ki, operatora qoşula biləsən. Hər həftənin şənbə və bazarı bəzi xidmət ya işləmir ya mədaxil olunan vəsait saatlarla gecikir. Keçən aydanda başlayıb milliön, e-manat terminallarında karta qoyulan vəsaitlərin karta oturmaması. Hamısının da adı profilaktik tədbir. Profilaktik tədbir yoxdur sadəcə bankı idarə edənlər milyonlarla mənfəət qarşısında öz səviyyələrində səviyyəsiz bir sistem qurublar. Respublikanın ən səviyyəsiz bankısız. Sizinlə ancaq əsəb, stress başqa heç nə. Burnunuzdan gəlsin her şey.",1/1/2021,"There is no other half-assed, shameless bank in the republic. Saturday and Sundays are not open . The call-center does not work at all, they do not make it possible to connect to the operator, but you can learn a balance that no one needs, the live chat does not work, it writes a reply after 1 hour at the zero level, and closes the chat conversation after 30 seconds of no response. You have to wait 1 hour again to be able to connect to the operator. Every Saturday and Sunday, some services either do not work or the funds are delayed for hours. Starting from last month, funds placed on the card at the million and e-manat terminals have not been transfered to the card. All of them are preventive measures. There is no preventive measure, just those who manage the bank have built a level system at their level in front of millions of profits. You are the worst bank of the republic. Nothing but nerves and stress with you. Let everything come from your nose.",0.0,az,True,True,False,True,True,True,False
11,11,11,"Sən işləyə bilmirsən artıq. Xidmətin 0-dır. Şənbə və bazar günləri pul köçürmələrin heçnədir. Zəng edirsən deyir ki, 'Bu problemə baxan mütəxəssislər həftə sonu işləmir, 10 gün ərzində problem dəyəndiriləcək'. İndi biz şənbə və bazar alış-veriş edə bilmərik, xidmətdən istifadə edə bilmərik. Çünki sistemində şənbə və bazar günləri yenilmə olur və bu problem normaldır",1/1/2021,"You can't work anymore. Your service is 0. There are no money transfers on Saturdays and Sundays. When you call, he says, ""The specialists who are looking into this problem do not work on the weekend, the problem will be solved within 10 days."" Now we can't shop on Saturday and Sunday, we can't use the service. Because the system is updated on Saturdays and Sundays and this problem is normal",2.98e-08,az,True,False,False,True,False,True,False
12,12,12,"Artiq bir aydan çoxdur ki voen kartı sifariş ede bilmirəm. Operatorlara deyesen tapşırıq veribler ki camaata normal izah eləməsinlər. Sistem pis gündədir, imtina olunur, səbəb yazılmır , operatora yalvarmaq lazimdir ki desinler niye imtina olunur her dəfə. 100 dəfə kartı sifariş eledim. Axrıncı dəfə imtina olunub yenə, səbəb yazılmır, çox qeyri-professional operatorlar və sistem!1 aydır zülüm çəkirəm bir dənə kartı sifariş etmek üçün! heç kimə məsləhət görmürəm sizin bankın müştərisi olsun.",1/1/2022,"I have not been able to order a voen card for more than a month. They seem to have instructed the operators not to explain to the public normally. The system is having a bad day, it is rejected, the reason is not written, it is necessary to beg the operator to tell them why it is rejected every time. I ordered the card 100 times. The last time it was rejected again, the reason is not written, very unprofessional operators and the system! I have been suffering for 1 month to order a single card! I do not advise anyone to be a client of your bank.",2.98e-08,az,False,False,False,False,True,True,False
13,13,13,"Çox xahiş edirəm xidməti yüksəldin. 2 dəfə Quba filialına getmişdim , hər ikisində orda duran mühafizə əməkdaşının kobudluğu ilə qarşılaşıram....Tək mən yox digər müştərilər də narazılığın bildirirlər... Bilmirəm karantin dövrü ilə bağlıdır ,yoxsa nə, lakin onun bu kobud şəkildə yola salmağı düzgün deyil...Kredit almaq istəyirdim , dedi ki əmək haqqı ilə alana düşmür, yalnız qızıl girov verə bilərsiniz...Onu demişdi ki az qala qolumdan tutub, çölə çıxartmaq isteyirdi...Mən heç bank mütəxəssisləri ilə danışa bilmədim...Hər şey yadımdan çıxdı (sonrası tək gəlməmişdim). Training keçmək lazımdır əməkdaşlarınıza..Ən azı mədəni şəkildə yola salmaq və düzgün rəftar elemek lazımdır , ətraflı məlumat verməlidir müştərilərə. Çox neqativ hisslər ilə oranı tərk elədim.",1/1/2020,"Please upgrade the service. I went to the Guba branch 2 times, and in both cases I encountered the rudeness of the security guard standing there... Not only me, but also other customers express dissatisfaction... I don't know if it is related to the quarantine period or what, but it is not right to send him off in such a rude manner.. I wanted to get a loan, he said that it is not possible to get it with that much salary, you can only pledge gold... he almost wanted to take me by the arm and take me out... I couldn't even talk to bank specialists... I forgot everything ( I didn't come to myself after that). It is necessary to pass training to your employees.. At least they should treat in a civilized manner and show proper behavior, they should give detailed information to customers. I left there with very negative feelings.",2.98e-08,az,False,True,True,True,True,False,True
14,14,14,"1. İnternet üzərindən 101 dollar ödəniş eləmək istədiyim üçün kartı bağlayıblar. Ödənişi də eləyə bilmədim
2. Telefonda kartı açdırmaq istəyəndə en son kartdan nə qədər pul çəkdiyimi unutduğum üçün dedilər gedin şöbədə açın.
3. Şöbədə də dedilər ki bugün eləyə bilmərik, başqa vaxt gəlin. Işçilərin münasibəti gülərüz deyildi.
Nəticə etibarı ilə, nə ödənişi eləyə bildim, nə də pul çəkə bildim lazım olduğu halda.
Ümid edirəm bir şey fikirləşərsiz bu barədə.",1/1/2017,"1. They blocked the card because I wanted to pay $101 over the Internet. I couldn't even make the payment
2. When I tried to open the card on the phone, they told me to open it in the department because I forgot how much money I last withdrew from the card.
3. They said in the department that we can't do it today, come another time. The attitude of the workers was not friendly.
As a result, I couldn't make a payment or withdraw money when I needed to.
I hope you think something about it.",2.98e-08,az,True,False,True,False,True,False,False
15,15,15,"Fırıldaq bankdı , müştərilərin taleyinə biganə yanaşırlar. Vaxtilə pul göndərmişəm bunların debet kartı ilə ( 20 faizden çox vergi də tutdular ) indi həmən pulu yenidən öz kartıma geri çəkək istəyirəm, bank tərəfindən məhdudiyyət qoyulub, icazə vermirlər pulu çəkməyə. Həmən şirkətində bir qaydası var ki, hansı kartla ödəniş etmisənsə eyni karta da geri qaytara bilərsən başqa bank kartı qəbul etmirlər . Müştərilərinə əvvəlcədən heç bir xəbərdarlıq etmədən blok qoyub həmən şirkətə. Müştərilərin taleyi maraqlandırmır bunları, vəziyyəti izah edirəm. Heç olmasa sonuncu dəfə icazə verin karta pulu çəkim , ona da icaze vermirlər, belələrinə nə ad vermək olar axı.",1/1/2019,"It was a fraudulent bank, they are indifferent to the fate of customers. I used to send money with their debit card (they also charged more than 20 percent tax), now I want to withdraw the money back to my card, the bank has set a limit, they don't allow me to withdraw the money. That company has a rule that they can return to the same card with which card you paid, they don't accept other bank cards. Immediately block the company without any prior notice to its customers. They are not interested in the fate of the customers, I am explaining the situation. At least let me withdraw money to the card for the last time.",2.98e-08,az,False,False,False,False,False,False,True
16,16,16,"Hörmətli bank. Kart sifariş vermişəm.(elmlər filialı)ala bilmirəm. işdə oluram. axşam 18:00-dan tez gələ bilmirəm. baxmayaraq ki, elmlər filialı 19:00-a qədər işləyir. bankın işçilərinə sübut edə bilmədim ki, sizin rəsmi səfifənizdə yazılıb. Şənbə Bazar günləri də ki, işləmir. Rəhbərlikdən də ki,heç kim yoxdur ki, adam bir dərdini desin. İşçilərin müştəriləri, qarşılayıb-yola salması da KAFİdir,",1/1/2023,"Dear bank. I ordered a card. (Elmler branch) I can't get it. I'm at work. I can't come earlier than 18:00. although the Elmler branch is open until 7:00 p.m. I could not prove to the employees of the bank that it was written on your official website that Elmler branch works till 19:00. It does not work on Saturdays and Sundays. From the management, there is no one to whom people can tell their problems. It is not good ENOUGH customers are welcomed by employees.",2.98e-08,az,False,False,True,True,True,False,False
17,17,17,"Mobil əlavənin işləməyən cəhətləri haqda bankın əməkdaşları yanlış məlumat verirlər deyə, müştəri vaxt itirir və nəticədə, bankdan narazı qalır.
Mobil əlavənin yeni versiyasında xarici bankların kartına köçürmələrin mümkün olduğu göstərilirdi. Bundan başqa, bankın şöbələrində, internet səhifələrində bu funksiya reklam olundu. Hər ehtimala qarşı, bankın mərkəzi ofisinə gəlib soruşdum ki, bu həqiqətən mümkündür, ya yox. Məni qətiyyətlə əmin etdilər ki, mümkündür. Amma demə bu funksiya işləmirmiş. Problemlə üzləşdikdə, şənbə günü banka getdim, əməkdaş funksiyanın işlədiyini, lakin hansısa texniki xəta səbəbindən problem alındığını bildirdi və bazar ertəsi banka müraciət etməyimi məsləhət gördü.
Yenə hər ehtimala qarşı, mobil əlavədə şərh yazaraq iradımı bildirdim. Az sonra bankdan zəng edib üzr istədilər və bildirdilər ki, bu funksiya hələ aktiv deyil və işləmir. Deməli, məni ""işləyir"" deyə aldadan əməkdaşlar belə bankın xidmətlərindən xəbərsizdirlər.
İşləməyən funksiyanı əlavəyə daxil edib hər yerdə də aktiv...",1/1/2019,"Because the bank's employees provide incorrect information about the malfunctioning aspects of the mobile application, the customer loses time and, as a result, is dissatisfied with the bank.
In the new version of the mobile application, it was indicated that transfers to cards of foreign banks were possible. In addition, this function was advertised in the bank's branches and websites. Just in case, I went to the bank's head office and asked if this was really possible. They firmly assured me that it is possible. But this function does not work. When I faced the problem, I went to the bank on Saturday, the employee told me that the function was working, but due to some technical error, the problem was arouse and advised me to contact the bank on Monday.
Again, just in case, I commented on the mobile app. Shortly after, the bank called and apologized and said that this feature is not yet active and does not work. So, even the employees who deceived me that they are ""working"" are not aware of the bank's ser...",5.96e-08,az,True,False,True,True,True,True,False
18,18,18,"Mən belə başa düşürəm ki siz düzələn deyilsiz. Keçən dəfə bura irad yazdım. Mənimlə əlaqə saxladılar. Həmişəki kimi günahı digər idarələrin və orqanları üzərinə yıxdılar, business kartla bağlı olan problemin ciddi araşdırılacağına söz verdilər. Amma nə fayda? Yenə köhnə hamam, köhnə tas. Keçən həftənin 5-ci günü cari hesaba köçürülmüş pul ""biznes karta"" köçmək adıyla hesabdan çıxmış və bir daha geri qayıtmamışdır. Düz iki sutkadır ki, məbləğ havadadır. Budurmu sizin xidmət keyfiyyətiniz? Bir halda ki, əməliyyat avtomatlaşdırılıbsa bunun qeyri-iş günü olması ilə nə əlaqəsi ola bilər? Niyə call center fəaliyyət göstərmir? Müştəri xidməti 24/7 rejimində çalışmalıdır. Deyək ki, müştəri bazar günü hər hansı bankomatda cash-in vasitəsilə pul yükləyir və birdən bakomat donur və pul karta yazılmır. Müştəri nə etməlidi? Kimə müraciət edə bilər əgər müştəri xidmətləri işləmirsə? İnternet səhifənizdə də online konsultasiya fəaliyyət göstərmir. Çox pis...çox bərbad. Başqa sözüm yoxdur. Vətəndaşlarımıza isə sadəcə bu b...",1/1/2018,"I understand that you are not a fixer. Last time I wrote a comment here. They contacted me. As usual, they put the blame on other departments and authorities, and promised to seriously investigate the problem related to the business card. But what's the use? Again, the old bathroom, the old basin. On the 5th of last week, the money transferred to the current account was withdrawn from the account under the name of transferring to a ""business card"" and never returned. The amount has been in the air for two days. Is this your quality of service? If the transaction is automated, what does it have to do with it being a non-business day? Why is the call-center not working? Customer service should work 24/7. Let's say that a customer loads money through cash-in at any ATM on Sunday, and suddenly the ATM freezes and the money is not written to the card. What should the customer do? Who can I contact if customer service is not working? Online consultation is not available on your website. Too bad...too bad. I have...",8.94e-08,az,True,False,False,True,False,True,False
19,19,19,"Son vaxtlar xidmət 0-dır. 15 ildir müştərisi olduğum banka son bir ildə ancaq əsəblərimi korlamaq üçün gedirəm. Bir ildə iki dəfə kartdan oğurluq, hesabda olan vəsaiti elə eyni bankda olan hesaba köçürmə üçün mütləq banka getmək, hər filialı sanki bir orqanizm deyil icarəyə verilmiş obyekt kimi. Təəssüflər, çox yaxında ayrılırıq.",1/1/2018,"Recently service is 0. I have been going to the bank, where I have been a customer for 15 years, for the last year only to spoil my nerves. Twice a year card theft, having to go to the bank to transfer the funds from the account to an account in the same bank, every branch is like a leased object rather than an organism. Sorry, we are leaving very soon.",8.94e-08,az,False,False,False,False,False,True,False
20,20,20,"sizin müştəri xidmətləriniz olduqca zəif, keyfiyyətsiz və ləngdir. Artıq 15 gündür müraciətə baxılmır. Nə vaxt zəng edirik, deyirsiz gözləyin, 10 iş günü ərzində baxılacaq. Olmaz ki bunu elə 5-ci iş günündə baxasınız? Gerek elə 10-cu gündə baxıla? sizin sistem səhvinizin ucbatından mənim kreditim gecikir, buna görə də əlavə gecikmə faizi ödəyirəm. Bu bankın belə dərəcədə öz müştərisinə laqeyd yanaşmasını heç düşünməzdim.",1/1/2022,"your customer service is very poor, poor quality and slow. The application has not been processed for 15 days. When we call, you say to wait, it will be considered within 10 working days. Can you watch it on the 5th working day? Should it be seen on the 10th day? my loan is late due to your system error, so I am paying extra late interest. I never thought that this bank would neglect its customers to such an extent.",8.94e-08,az,True,True,False,True,False,True,True
21,21,21,"Ayın ikisi 320 azn ödəniş etmişik atamın pensiya kartından digər kartına online şəkildə(pensiya kartı da sizin kartdır, digər kart da. Yəni hər şey sizin banka aiddir). Amma ödəniş hələ də ödənməyib və dəfələr çağrı mərkəzinə zəng etsəm də hələ heç bir nəticə yoxdur və bugün axırıncı gündür. Her gün üstünə faiz hesablanır. Çox narazıyıq xidmətinizdin... dəfələrlə zəng edib deyirik ki ayın 10-a kimi ödənilsin ki, adımıza gecikmə düşməsin amma heç bir reaksiya yoxdur. Və heç bir köməklik də yoxdur, sadece yola verilir baxılacaq meseleye deyərək... bu qədər çətindir ki 8 günü pulu hesaba köçürmək? Pul pensiya kartından çıxıb amma karta oturmayıb. Yeni bir sözlə 320 azn yoxdur ortada. Müştəri məmnuniyyəti deyirsiz amma heç nəyi nəzərə alan yoxdur. Niyə bizə sizin problemə görə gecikmə düşməlidir? Və nəyə görə 8 gündür ödəniş oturmur? Niyə heç kim bu məsələyə 8 gündür baxmır və köməklik eləmir? Kimə müraciət edək? Hamı sadəcə yola verir.",1/1/2017,"Two times a month, we paid 320 AZN from my father's pension card to another card online (the pension card is your card, the other card too. That is, everything belongs to your bank). But the payment is still not paid and I have called the call-center many times but still no result and today is the last day. Interest is calculated on top of it every day. We are very dissatisfied with your service... we have called many times and asked to be paid by the 10th of the month, so that there is no delay on our behalf, but there is no response. And there is no help, they just leave saying that the matter will be considered... is it so difficult to transfer the money to the account in 8 days? The money came out of the pension card, but it was not deposited into the card. In a new word, there is no 320 azn in the middle. You say customer satisfaction, but no one considers anything. Why should we be delayed because of your problem? And why is the payment not sitting for 8 days? Why is no one looking at this issue for...",1.49e-07,az,True,False,False,True,False,True,True
22,22,22,"Ən yalançı bankdır, mən 1 ay əvvəl transfer kredit istəmişdim, zamin istədilər, maaş kartlarını, arayışın istədilir dünən gətirib vermişəm. Borc pul tapıb arayışları çıxartdım hər 2 bankdan axırda mənə dedilər ki, işiniz düzəlmir ay yalançılar niyə belə edirsiz. Nə cür insanlardılar bunlar, məncə Bakıda en axırıncı bankdır. Bəsdirin camaatı aldatdız. bisavadları yığıb töküblər heç nədən anlayışı yox, danışıq tərzi yox, qorxaqları yığıb töküblər guya bunlar işləyir. sizi məhkəməyə vermək lazımdır bu yalan işlərinizə görə.",1/1/2019,"It is the most lying bank, I asked for a transfer loan 1 month ago, they asked for a guarantor, they want my salary cards and reference, I brought them yesterday. I found the loan money and took out the references from both banks. In the end, they told me that your business is not going well, you liars, why are you doing this. What kind of people were they, I think they are the last bank in Baku. You deceived the people, that is enough. they have collected and dumped the uneducated, they have no understanding of anything, no way of speaking, they have collected and dumped the cowards as if they are working. You should be sued for your lies.",2.68e-07,az,False,True,False,True,False,True,True
23,23,23,"Bakidakı problemlərə baxmayaraq bankın ağzı daim doludur, belə şey olar? dünən 2 saat gözləyib qayıtdım evə çünki icazəmin vaxtı bitirdi, uzağda yaşayanları düşünmək lazımdır. Çox zəif xidmət var. Bankomatları, savadlı işçiləri çoxaldın.",1/1/2021,"Despite the problems in Baku, the bank is always full, can such a thing happen? yesterday I waited for 2 hours and returned home because my permit has expired, I need to think about those who live far away. Very poor service. Increase ATMs, educated workers.",2.98e-07,az,False,True,True,True,True,True,False
